MG042

节点表
label: 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  
type:  0  0  0  0  0  0  0  0  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  

属性表
1,2,000
1,3,000
2,25,01
2,4,000
3,29,01
3,5,000
4,26,01
4,12,000
4,16,01
4,11,01
4,18,01
4,9,01
5,11,000
5,30,01
5,9,01
6,30,000
6,7,000
6,11,01
6,26,01
6,16,01
7,17,01
7,8,000
8,9,000
8,30,01
8,26,01
9,10,000
10,11,000
10,20,01
11,21,01
12,13,000
12,27,01
13,14,000
14,15,000
14,23,01
15,16,000
15,22,01
15,18,01
16,17,000
16,21,01
17,18,000
18,19,000
19,20,000
19,22,01
19,26,01
20,21,000
21,22,000
21,26,01
22,23,000
23,24,000
24,25,000
25,26,000
26,27,000
27,28,000
28,29,000
29,30,000
