MG064

节点表
label: 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62
type:  0  0  0  0  0  0  0  0  0  0    0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1

属性表
1,4,000
1,2,01
2,3,000
3,4,01
3,19,01
3,6,000
4,20,01
4,5,000
5,7,000
5,6,01
5,10,01
6,8,000
6,9,01
7,8,01
9,10,01
9,12,000
10,11,000
11,12,01
11,14,01
11,17,000
12,13,01
12,15,000
13,19,000
13,14,01
13,16,000
14,20,000
14,18,000
15,16,000
17,18,000
19,20,01
2,21,0000
21,22,00010
22,23,00011
23,24,00010
24,25,00011
25,26,00010
26,27,0000
27,19,0000
28,1,0000
28,29,00010
29,30,00011
30,31,00010
31,32,00011
32,33,00010
33,34,0000
34,20,0000
35,8,0000
35,36,00010
36,37,00011
37,38,00010
38,39,00011
39,40,00010
40,41,0000
41,9,0000
42,7,0000
42,43,00010
43,44,00011
44,45,00010
45,46,00011
46,47,00010
47,48,0000
48,10,0000
49,50,0000
50,51,0000
51,52,0000
52,53,0000
53,54,0000
54,55,0000
55,56,0000
56,57,0000
57,58,0000
58,59,0000
59,60,0000
60,61,0000
61,62,0000
